title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score
10 Second Ninja X,PlayStation 4,GameDesignDan,"['Action', 'Platformer', '2D']",T,2016-07-19,"If you want a cheesy story to go along with a hard platformer, this is for you! The game takes inspiration from Super Meat Boy, but faster paced. As the name implies, you have 10 seconds to finish the level. This is done by destroying every single robot (which there are a variety of), and not being electrocuted (which can also happen many ways). There are multiple ""stages"" that have multiple levels. These levels get progressively more difficult the more you complete, and each stage has it's own twist that changes how you play the game. Each stage also has different tilesets and music. In my opinion, the default control map is good, but be aware there is no control mapping. My only complaint is the learning curve. The levels, as I said, do get harder, but each time you enter a new stage, it becomes significantly more difficult, although I think that's the point. If you've never played a game like Super Meat Boy or 10 Second Ninja, you should definitely try this game.",76,Generally favorable reviews,11.0,5.0,0.0,5.5,Mixed or average reviews,8.0,3.0,6.0,55.0
1000 Top Rated,PlayStation 4,Top Rated,"['Miscellaneous', 'Party / Minigame']",,2017-06-27,"This game is a puzzle game, but it's more likely to come of as a easy platinum game, as the game is almost designed for you only to play it quick to get a platinum and move on.",0,No score yet,0.0,0.0,0.0,2.0,Generally unfavorable reviews,0.0,1.0,3.0,20.0
1001 Spikes,PlayStation 4,Nicalis,"['Action', 'Platformer', 'Platformer', '2D', '2D']",T,2014-06-03,"If you miss the crippling difficulty of the NES, 1001 Spikes is challenging, rewarding, and just for you.To begin, the levels after level 5 are HARD. Youll die at least 30 times just learning all of the traps. It will aggravate you and it may call for a break but any completionist will not be able to stay away too long and the crave of victory will soon be satitated. Once you do complete a level, you'll notice that with a complete understanding of the level's traps and flow it is rather simple to complete. Thus, begging you to get a faster time.If you love to speedrun. This game hits the nail on the head. Its 95% free of annoying gimmicks (darn that 5-3) and has many difficult secrets to give options on your run. Do you take the simple route and get your regular time? Or do you risk it all to shave 3 seconds? The choices!The game is also quite lengthy which is great! The second half of the game (as of this writing) has still yet to be recorded in a speed run world record (Good Luck!) !The only downfall of this second half is it fails in diversity. The first half of the game changes themes and schemes while the second remains a (seemingly endless) blue and white. 30 levels of blue and white can be tiresome! The good news is the soundtrack and gameplay improves in the second half. Gameplay is tighter, trickier, and you must be precise in your actions to master any level. The soundtrack for the whole game is catchy but it really ups the quality in the second half.Expect no gripping story, obviously but expect hours of death and reward. Your friends will think you a God when youre running through. And someone please speed run Antarctica!",78,Generally favorable reviews,6.0,2.0,0.0,6.6,Mixed or average reviews,21.0,7.0,8.0,66.0
100ft Robot Golf,PlayStation 4,No Goblin,"['Sports', 'Individual', 'Golf', 'Arcade']",E10+,2017-09-27,"100ft Robot Golf is a real-time golf game through which you control massive robots on their quest for par. Never get your ball stuck behind a pesky tree or skyscraper ever again. Just swing your golf club to smash even the tallest buildings out of the way — or into the way of your robot golfing buddies. You can play with up to four people splitscreen on your TV, or immerse yourself in PlayStation VR and experience virtual golf robot reality. [No Goblin]",56,Mixed or average reviews,3.0,12.0,3.0,5.9,Mixed or average reviews,9.0,2.0,6.0,59.0
101 Ways to Die,PlayStation 4,4 Door Lemon,"['Action', 'Platformer', '2D']",T,2016-03-22,A game that makes me laugh and want to play more. I also like the way it gets quite challenging later on so don't be fooled by early easy levels. The graphics are great and the Splatts entertaining.,60,Mixed or average reviews,1.0,5.0,0.0,5.0,Mixed or average reviews,2.0,0.0,2.0,50.0
140,PlayStation 4,Jeppe Carlsen,"['Action', 'Platformer', '2D']",E,2016-09-06,"At its heart 140 is an old-school platformer set in a world of abstract colorful graphics, but it has a musical twist. You’ll need to overcome obstacles that are controlled by an energetic, yet melancholic electronic soundtrack - meaning you’ll need a heightened sense of rhythm to sync up your every move and jump to the music.",72,Mixed or average reviews,4.0,1.0,1.0,0.0,No user score yet,1.0,0.0,0.0,0.0
2064: Read Only Memories,PlayStation 4,MidBoss,"['General', 'Adventure', 'Point-and-Click']",M,2017-01-17,"Neo-San Francisco, 2064 AD. Your life as a struggling journalist is interrupted by the world’s first sapient machine, a ROM (Relationship and Organizational Manager) named Turing. Together, you and the quirky robot will encounter a colorful cast of locals and overcome challenges as you uncover the city’s secrets behind the overlapping futures of technology and humanity. Can you survive in Neo-SF? Or will the mystery go unsolved?",76,Generally favorable reviews,9.0,5.0,0.0,3.3,Generally unfavorable reviews,166.0,5.0,356.0,33.0
2Dark,PlayStation 4,Gloomywood,"['Action Adventure', 'General']",M,2017-03-10,"From Frédérick Raynal, the creator of Alone in the Dark and pioneer of survival-horror, 2Dark is a grim journey of stealth and courage into the heart of corruption. Use your cunning to infiltrate Gloomywood’s bastions of cruelty. Investigate to uncover the secrets of the deranged psychopaths within, seek retribution for their crimes, and bring the children to safety. [Playstation.com]",54,Mixed or average reviews,3.0,10.0,6.0,7.4,Mixed or average reviews,14.0,2.0,4.0,74.0
36 Fragments of Midnight,PlayStation 4,Petite Games,"['Action', 'Platformer', '2D']",E,2017-12-19,"In this procedurally generated platforer, you have to avoid deadly lasers, circular saws, and spikes to collect all the Fragments and get their greatest gift. Do you have what it takes to collect them all?",0,No score yet,0.0,0.0,0.0,4.3,Generally unfavorable reviews,1.0,1.0,2.0,43.0
3D Billiards,PlayStation 4,Z-Software,"['Sports', 'Individual', 'Billiards']",E,2017-12-19,With 3D Billiards you can enjoy the ultimate billiards and pool experience in the comfort of your own home. Step up to the virtual table and show what you can do with a cue.,0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,2.0,0.0
3D Billiards: Billards & Snooker,PlayStation 4,"PQube, Z-Software","['Sports', 'Individual', 'Billiards']",E,2017-12-19,,0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,3.0,0.0
3D Mini Golf,PlayStation 4,PQube,"['Sports', 'Individual', 'Golf', 'Arcade']",,2018-03-08,"Awful game, terrible, shocking user face, it has the game play of a brick and background music that is composed of around 5 notes. Dull boring and I've seen better graphics on a commodore 64",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,2.0,0.0
3D MiniGolf,PlayStation 4,Z-Software,"['Sports', 'Individual', 'Golf', 'Arcade']",E,2017-08-15,"Master an entertaining match on more than 54 challenging holes, 18 of which faithfully modeled after official courses in the real world.",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,1.0,0.0
3on3 Freestyle,PlayStation 4,Joycity,"['Sports', 'Team', 'Basketball', 'Arcade']",E,2016-12-06,"Enjoy with friends !! It is the best of free sports games. Your friends will surely like it. Feel the joy of winning with a great co-op play! But if you lose, it gets really annoying. That's the charm of this game. It is recommended to play as a team rather than alone. If you have a chance to play, do it once.",0,No score yet,0.0,1.0,0.0,7.5,Generally favorable reviews,11.0,3.0,5.0,75.0
5 Star Wrestling: ReGenesis,PlayStation 4,Serious Parody,"['Sports', 'Individual', 'Combat', 'Wrestling']",T,2016-01-19,"5 Star Wrestling: ReGenesis is built on true Ring Psychology with Heel and Face mechanics, a revolutionary Limb Damage System and Rivalries that impact gameplay. Featuring a 40 Hour Challenge campaign with 128 challenges, over 400 objectives, and more moves-per-wrestler than any other game including never before seen Finisher-To-Finisher reversals, 5 Star Wrestling is brimming with content. Introducing: Ragnabrok 'The Conqueror', 'Raging' Andy Organ, HarVee Dee and Jonny 'The Bull' Miavia. 5 Star Wrestling is all about the characters each coming with their own original theme music, massive move set and spectacular finishing manoeuvres which look and feel different depending on the characters physical condition when executing the move. 5 Star Wrestling also features fully customisable, goal-oriented AI, with each character having 5 different personalities to choose from that will significantly change the way matches play out. If you're a wrestling fan, this game was made for you!",0,No score yet,0.0,2.0,0.0,2.7,Generally unfavorable reviews,1.0,0.0,5.0,27.0
7 Days to Die,PlayStation 4,The Fun Pimps Entertainment LLC,"['Action', 'Shooter', 'First-Person', 'Arcade']",M,2016-06-28,"It’s an open-world sandbox game to play alone, via splitscreen, or online, that gives you an enormous amount of freedom to choose how to survive in a post-apocalyptic world. You’re dropped into a harsh environment with almost nothing – not even clothes on your back. Through scavenging, crafting, and hunting, you’ll eventually put together the basic items you’ll need to live. You’ll have to deal with cold, heat, hunger and thirst, and there are wild animals that see you as prey. But that’s not the worst, because you’re not alone — the undead wander all around you. Slow and relatively easy to avoid by day, at night they become merciless, fast-moving killers, hungry for your flesh.",45,Generally unfavorable reviews,1.0,6.0,9.0,5.8,Mixed or average reviews,76.0,40.0,60.0,58.0
8-Bit Adventure Anthology: Volume One,PlayStation 4,Abstraction Games,"['Miscellaneous', 'Compilation']",E10+,2017-10-31,"A compilation featuring faithful remakes of three of the best 8-bit point & click adventure games ever made. Now is your chance to play Shadowgate, The Uninvited, and Déjà Vu the way they were supposed to be played — with a controller in hand and worlds waiting to be explored.",71,Mixed or average reviews,2.0,5.0,0.0,0.0,No user score yet,2.0,5.0,0.0,0.0
8-Bit Armies,PlayStation 4,"Petroglyph, Soedesco","['Strategy', 'Real-Time', 'Command']",E10+,2018-03-27,"8-Bit Armies is Petroglyph's first game in the 8-Bit RTS series. It commemorates the first Command & Conquer games with its accessible gameplay mechanics while providing a fun and timeless art style that introduces new players to the genre. A unique console controller scheme makes it easier than ever to build bases and command large armies without complex button memorization. FEATURES: * Jump right in with easy to understand modern military units and structures.* Play cooperatively or versus the AI choosing from multiple difficulty options.* Use classic RTS Base-Building mechanics to construct the ultimate HQ from which to attack your foes.* Explore a variety of locales, destroying everything that gets in your way with devastating superweapons.* Two campaigns with a total of 40 single-player combat missions for many hours of gameplay.* Join your friends to play 12 co-op missions against a variety of AI opponents.* Gather up to 8 online players to team up in one of the dozen multiplayer/skirmish maps.",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,0.0,0.0
88 Heroes,PlayStation 4,"Rising Star Games, Bitmap Bureau","['Action', 'Platformer', '2D']",E10+,2017-03-24,"It’s 8:08 AM on August 8, 1988, and the evil Dr. H8 has brought the world to the brink of total annihilation. His demands are simple: pay $88 octillion within 88 minutes, or Dr. H8’s 88 thermo-nuclear warheads will wipe out the Earth! But who will save us in our time of need? The bravest? The boldest? No… the 88 Heroes.",72,Mixed or average reviews,4.0,4.0,0.0,5.8,Mixed or average reviews,2.0,1.0,2.0,58.0
88 Heroes: H8 Mode Activate!,PlayStation 4,Bitmap Bureau,"['Action', 'Platformer', '2D']",E10+,2017-10-20,,0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,0.0,0.0
88 Heroes: RSG Champions,PlayStation 4,Bitmap Bureau,"['Action', 'Platformer', '2D']",E10+,2017-08-08,,0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,0.0,0.0
8DAYS,PlayStation 4,Santa Clara Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",M,2017-02-07,"The world has been dominated by dark forces since the beginning of human history. Known as the Masters of Mankind by those directly under their control, these forces will use any means necessary to protect their own interests including starting wars. In 8Days, the mercenary company G.O.D. (Gold, Oil, and Diamonds, Inc) and the 8DAYS Magazine are two modern instruments used to control the masses. You will have to face those conflicts and put them to an end… will you? [Playstation.com]",61,Mixed or average reviews,2.0,2.0,2.0,6.8,Mixed or average reviews,4.0,1.0,1.0,68.0
911 Operator,PlayStation 4,PlayWay plc,"['Simulation', 'Virtual', 'Career']",T,2017-11-28,,0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,0.0,0.0
99Vidas,PlayStation 4,QUByte Interactive,"['Action', ""Beat-'Em-Up"", '2D']",T,2017-07-18,"99Vidas is a brawler set in a contemporary world that pays tribute to both classic and new games in the industry. Brought to you in 16-bit pixelated glory, chock-full of references to not only gaming but also 80’s and 90’s pop culture.",61,Mixed or average reviews,1.0,9.0,1.0,6.9,Mixed or average reviews,11.0,3.0,4.0,69.0
A Bastard's Tale,PlayStation 4,No Pest Productions,"['Action', 'Fighting', '2D']",T,2016-10-04,Great Game! I did not think much of it before I bought it but it is very addictive I Always want to pass one just more enemy. Old School pixel art is also great! If I have one complaint it would be that the animations are a bit uneven.,48,Generally unfavorable reviews,0.0,5.0,2.0,6.0,Mixed or average reviews,2.0,0.0,2.0,60.0
A Boy and His Blob,PlayStation 4,Abstraction Games,"['Action', 'Platformer', '2D']",E,2016-01-19,"Marking the 20th anniversary of this NES classic, a boy and his blob is a rebirth of this fan favorite title that expands upon the original platform adventure. This Wii exclusive is a heartwarming story of friendship that challenges players to work together with their new blob friend to solve puzzles, defeat monsters and escape danger on Earth and Blobolonia. By feeding the blob jelly beans, players can activate his special abilities to transform him into helpful tools - including a ladder, trampoline, parachute, cannon, shield and many more.  Every different blob form aids the boy as he navigates 40 side-scrolling levels filled with hidden treasures and unlockable bonus content.",66,Mixed or average reviews,2.0,2.0,0.0,7.3,Mixed or average reviews,3.0,3.0,0.0,73.0
A Hat in Time,PlayStation 4,Gears for Breakfast,"['Action', 'Platformer', '3D']",E10+,2017-12-05,"A Hat in Time is a 3D collect-a-thon platformer featuring a little girl with a lot of heart. Travel the universe with Hat Kid as you rival the evil Mustache Girl in order to save the world. Unlock new platforming abilities, more combat moves and spice up your attacks with badges attached to your hat.",80,Generally favorable reviews,13.0,2.0,0.0,7.9,Generally favorable reviews,24.0,0.0,5.0,79.0
A Healer Only Lives Twice,PlayStation 4,Mediascape,"['Role-Playing', 'Japanese-Style']",E10+,2017-07-25,"Monsters have cornered you in the dungeon corridors. As a newly hired Priest, your duties are to use your magical abilities to heal your comrade, a Knight on the front-line, and provide support during battle. Will these two brave souls live to see the light of day again?",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,1.0,0.0
A Hole New World,PlayStation 4,MadGearGames,"['Action', 'Platformer', '2D']",E,2017-09-05,"The city is being invaded by monsters from the Upside Down World! You, the Potion Master, must defeat evil all alone, with no tutorials or Easy Mode to assist you. You’ll have to rely on the help of Fäy, your companion fairy, and your potions.",0,No score yet,0.0,1.0,0.0,0.0,No user score yet,0.0,1.0,0.0,0.0
A King's Tale: Final Fantasy XV,PlayStation 4,Square Enix,"['Action', ""Beat-'Em-Up"", '2D']",E10+,2016-11-29,"Taking place in a fictitious 30 years before FINAL FANTASY XV, this game features retro-style inspired graphics centered around a fast-paced combat system with influences from modern gaming. The in-depth combat system blends intense attacks, devastating magic, mighty summons and unique companion attacks into a singular gaming experience through three diverse locations in the world of FINAL FANTASY XV. [Square Enix]",65,Mixed or average reviews,0.0,4.0,1.0,6.6,Mixed or average reviews,17.0,14.0,7.0,66.0
A Pixel Story,PlayStation 4,Lamplight Studios,"['Action', 'Platformer', '2D']",E10+,2017-02-24,"In a world hidden deep inside your computer, an unlikely hero is about to appear. A tale of platforms and perils, of magical teleporting hats and sarcastic software, of thieving seagulls and maniacal operators. It’s no fairy tale… it’s a pixel story. [Playstation.com]",67,Mixed or average reviews,0.0,4.0,0.0,0.0,No user score yet,0.0,4.0,0.0,0.0
A Way Out,PlayStation 4,Hazelight,"['Action Adventure', 'Open-World']",,2018-03-23,"The story of A Way Out begins in prison with two separate inmates, Leo and Vincent, who don’t know each other. While their individual stories progress, players have to build a relationship based on trust as they break both men out of prison into the world beyond. This co-op only experience is meant to be played together with a friend on a couch or online. A Way Out is a game uniquely tailored for two players to work together no matter the situation. Through a compelling narrative, Leo and Vincent will embark on an emotional adventure, where they live some memorable action moments that they face together including car chases, stealth passages, melee fights, shootouts and many more. [Electronic Arts]",0,No score yet,0.0,0.0,0.0,0.0,No user score yet,0.0,0.0,0.0,0.0
Aaero,PlayStation 4,Mad Fellows Ltd,"['Action', 'Shooter', 'Rail']",E10+,2017-04-11,"Speed through stunning, stylised environments tracing ribbons of light, releasing the energy in the music. Battle strange enemies and fight epic boss battles all driven by an incredible licensed soundtrack.",77,Generally favorable reviews,5.0,3.0,0.0,5.6,Mixed or average reviews,3.0,1.0,3.0,56.0
